"REF_DATE","GEO","DGUID","Type of crop","Supply and disposition of grains","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-07","Canada","2016A000011124","All wheat","Total supplies","Metric tonnes","214","thousands","3","v73866455","1.1.1","39202.7","","","","1"
"2019-12","Canada","2016A000011124","All wheat","Total supplies","Metric tonnes","214","thousands","3","v73866455","1.1.1","38838.3","","","","1"
"2020-03","Canada","2016A000011124","All wheat","Total supplies","Metric tonnes","214","thousands","3","v73866455","1.1.1","38932.4","","","","1"
"2020-07","Canada","2016A000011124","All wheat","Total supplies","Metric tonnes","214","thousands","3","v73866455","1.1.1","38985.9","","","","1"
"2020-12","Canada","2016A000011124","All wheat","Total supplies","Metric tonnes","214","thousands","3","v73866455","1.1.1","40971.0","","","","1"
"2021-03","Canada","2016A000011124","All wheat","Total supplies","Metric tonnes","214","thousands","3","v73866455","1.1.1","40989.4","","","","1"
"2021-07","Canada","2016A000011124","All wheat","Total supplies","Metric tonnes","214","thousands","3","v73866455","1.1.1","41078.2","","","","1"
"2021-12","Canada","2016A000011124","All wheat","Total supplies","Metric tonnes","214","thousands","3","v73866455","1.1.1","28486.0","","","","1"
"2022-03","Canada","2016A000011124","All wheat","Total supplies","Metric tonnes","214","thousands","3","v73866455","1.1.1","28512.2","","","","1"
"2022-07","Canada","2016A000011124","All wheat","Total supplies","Metric tonnes","214","thousands","3","v73866455","1.1.1","28536.1","","","","1"
"2022-12","Canada","2016A000011124","All wheat","Total supplies","Metric tonnes","214","thousands","3","v73866455","1.1.1","38044.3","","","","1"
"2023-03","Canada","2016A000011124","All wheat","Total supplies","Metric tonnes","214","thousands","3","v73866455","1.1.1","38049.5","","","","1"
"2023-07","Canada","2016A000011124","All wheat","Total supplies","Metric tonnes","214","thousands","3","v73866455","1.1.1","38062.7","","","","1"
"2023-12","Canada","2016A000011124","All wheat","Total supplies","Metric tonnes","214","thousands","3","v73866455","1.1.1","35511.8","","","","1"
"2010-03","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","102.6","","","","1"
"2010-07","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","117.4","","","","1"
"2010-12","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","31.2","","","","1"
"2011-03","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","48.6","","","","1"
"2011-07","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","68.0","","","","1"
"2011-12","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","27.6","","","","1"
"2012-03","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","56.0","","","","1"
"2012-07","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","78.5","","","","1"
"2012-12","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","45.7","","","","1"
"2013-03","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","51.4","","","","1"
"2013-07","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","73.8","","","","1"
"2013-12","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","18.0","","","","1"
"2014-03","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","29.5","","","","1"
"2014-07","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","55.0","","","","1"
"2014-12","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","40.2","","","","1"
"2015-03","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","57.7","","","","1"
"2015-07","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","88.2","","","","1"
"2015-12","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","50.8","","","","1"
"2016-03","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","69.0","","","","1"
"2016-07","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","108.6","","","","1"
"2016-12","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","57.4","","","","1"
"2017-03","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","81.4","","","","1"
"2017-07","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","109.5","","","","1"
"2017-12","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","30.8","","","","1"
"2018-03","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","51.0","","","","1"
"2018-07","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","81.8","","","","1"
"2018-12","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","38.5","","","","1"
"2019-03","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","56.1","","","","1"
"2019-07","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","118.9","","","","1"
"2019-12","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","127.5","","","","1"
"2020-03","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","221.6","","","","1"
"2020-07","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","275.1","","","","1"
"2020-12","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","34.6","","","","1"
"2021-03","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","53.0","","","","1"
"2021-07","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","141.8","","","","1"
"2021-12","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","110.5","","","","1"
"2022-03","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","136.7","","","","1"
"2022-07","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","160.6","","","","1"
"2022-12","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","46.9","","","","1"
"2023-03","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","52.1","","","","1"
"2023-07","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","65.3","","","","1"
"2023-12","Canada","2016A000011124","All wheat","Imports","Metric tonnes","214","thousands","3","v73866460","1.1.6","45.4","","","","1"
"2010-03","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","11551.7","","","","1"
"2010-07","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","18481.2","","","","1"
"2010-12","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","6981.9","","","","1"
"2011-03","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","10154.7","","","","1"
"2011-07","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","16183.7","","","","1"
"2011-12","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","7449.2","","","","1"
"2012-03","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","11752.7","","","","1"
"2012-07","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","17499.6","","","","1"
"2012-12","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","8117.4","","","","1"
"2013-03","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","12692.9","","","","1"
"2013-07","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","19578.0","","","","1"
"2013-12","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","8844.4","","","","1"
"2014-03","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","14126.1","","","","1"
"2014-07","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","23496.4","","","","1"
"2014-12","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","10153.9","","","","1"
"2015-03","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","15502.9","","","","1"
"2015-07","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","23956.8","","","","1"
"2015-12","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","9667.0","","","","1"
"2016-03","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","14817.2","","","","1"
"2016-07","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","21704.9","","","","1"
"2016-12","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","7925.7","","","","1"
"2017-03","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","12435.9","","","","1"
"2017-07","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","20155.4","","","","1"
"2017-12","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","8866.6","","","","1"
"2018-03","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","14420.7","","","","1"
"2018-07","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","21912.5","","","","1"
"2018-12","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","10109.8","","","","1"
"2019-03","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","15501.3","","","","1"
"2019-07","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","24286.7","","","","1"
"2019-12","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","8800.7","","","","1"
"2020-03","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","13839.5","","","","1"
"2020-07","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","23982.3","","","","1"
"2020-12","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","11146.7","","","","1"
"2021-03","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","17854.3","","","","1"
"2021-07","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","26331.9","","","","1"
"2021-12","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","6586.7","","","","1"
"2022-03","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","9963.6","","","","1"
"2022-07","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","15067.9","","","","1"
"2022-12","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","10330.2","","","","1"
"2023-03","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","17663.4","","","","1"
"2023-07","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","25510.3","","","","1"
"2023-12","Canada","2016A000011124","All wheat","Total exports","Metric tonnes","214","thousands","3","v73866462","1.1.8","10605.9","","","","1"
"2010-03","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","7404.4","","","","1"
"2010-07","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","7405.1","","","","1"
"2010-12","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","5741.1","","","","1"
"2011-03","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","5753.0","","","","1"
"2011-07","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","5755.1","","","","1"
"2011-12","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","5749.9","","","","1"
"2012-03","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","5752.0","","","","1"
"2012-07","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","5755.4","","","","1"
"2012-12","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","6146.8","","","","1"
"2013-03","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","6147.6","","","","1"
"2013-07","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","6148.5","","","","1"
"2013-12","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","7632.2","","","","1"
"2014-03","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","7634.8","","","","1"
"2014-07","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","7636.5","","","","1"
"2014-12","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","6935.8","","","","1"
"2015-03","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","6936.9","","","","1"
"2015-07","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","6939.3","","","","1"
"2015-12","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","6373.3","","","","1"
"2016-03","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","6375.4","","","","1"
"2016-07","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","6377.6","","","","1"
"2016-12","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","8863.5","","","","1"
"2017-03","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","8868.1","","","","1"
"2017-07","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","8872.8","","","","1"
"2017-12","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","6790.9","","","","1"
"2018-03","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","6793.6","","","","1"
"2018-07","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","6797.5","","","","1"
"2018-12","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","7267.7","","","","1"
"2019-03","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","7271.8","","","","1"
"2019-07","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","7284.7","","","","1"
"2019-12","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","6904.5","","","","1"
"2020-03","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","6934.1","","","","1"
"2020-07","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","6945.8","","","","1"
"2020-12","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","7316.5","","","","1"
"2021-03","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","7318.6","","","","1"
"2021-07","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","7320.9","","","","1"
"2021-12","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","3852.3","","","","1"
"2022-03","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","3852.9","","","","1"
"2022-07","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","3853.3","","","","1"
"2022-12","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","6359.3","","","","1"
"2023-03","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","6359.5","","","","1"
"2023-07","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","6360.3","","","","1"
"2023-12","Canada","2016A000011124","Durum wheat","Total supplies","Metric tonnes","214","thousands","3","v73866474","1.2.1","4457.1","","","","1"
"2010-03","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","1.7","","","","1"
"2010-07","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","2.4","","","","1"
"2010-12","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","22.5","","","","1"
"2011-03","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","34.4","","","","1"
"2011-07","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","36.5","","","","1"
"2011-12","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","11.8","","","","1"
"2012-03","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","13.9","","","","1"
"2012-07","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","17.3","","","","1"
"2012-12","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","34.1","","","","1"
"2013-03","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","34.9","","","","1"
"2013-07","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","35.8","","","","1"
"2013-12","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","0.8","","","","1"
"2014-03","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","3.4","","","","1"
"2014-07","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","5.1","","","","1"
"2014-12","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","4.1","","","","1"
"2015-03","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","5.3","","","","1"
"2015-07","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","7.7","","","","1"
"2015-12","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","8.5","","","","1"
"2016-03","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","10.7","","","","1"
"2016-07","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","12.9","","","","1"
"2016-12","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","1.5","","","","1"
"2017-03","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","6.0","","","","1"
"2017-07","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","10.8","","","","1"
"2017-12","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","0.6","","","","1"
"2018-03","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","3.4","","","","1"
"2018-07","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","7.3","","","","1"
"2018-12","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","6.8","","","","1"
"2019-03","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","10.9","","","","1"
"2019-07","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","23.8","","","","1"
"2019-12","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","55.2","","","","1"
"2020-03","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","84.8","","","","1"
"2020-07","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","96.5","","","","1"
"2020-12","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","8.7","","","","1"
"2021-03","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","10.8","","","","1"
"2021-07","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","13.1","","","","1"
"2021-12","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","6.8","","","","1"
"2022-03","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","7.4","","","","1"
"2022-07","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","7.9","","","","1"
"2022-12","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","0.5","","","","1"
"2023-03","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","0.6","","","","1"
"2023-07","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","1.5","","","","1"
"2023-12","Canada","2016A000011124","Durum wheat","Imports","Metric tonnes","214","thousands","3","v73866479","1.2.6","2.7","","","","1"
